Race,Driver,Compound,Stint,StintLength,AvgPace,FirstThreeAvg,LastThreeAvg,PaceDropoff,DegradationRate
abu_dhabi,VER,MEDIUM,1.0,23,89.713,90.11633333333334,90.01633333333332,-0.10000000000002274,-0.004347826086957511
abu_dhabi,VER,HARD,2.0,35,88.6877142857143,95.30933333333333,88.62533333333333,-6.6839999999999975,-0.1909714285714285
australian,ALB,INTERMEDIATE,4.0,29,97.62693103448278,136.92033333333333,96.806,-40.114333333333335,-1.3832528735632184
australian,ALB,MEDIUM,5.0,11,117.06390909090909,117.73200000000001,92.353,-25.37900000000002,-2.30718181818182
australian,ALB,INTERMEDIATE,6.0,13,107.78692307692306,104.95266666666667,90.181,-14.771666666666675,-1.136282051282052
australian,ALO,INTERMEDIATE,4.0,28,97.13664285714285,135.756,89.01433333333334,-46.74166666666666,-1.6693452380952378
australian,ANT,INTERMEDIATE,4.0,29,97.50810344827585,134.562,96.97066666666666,-37.59133333333335,-1.296252873563219
australian,ANT,HARD,5.0,11,116.73263636363639,116.30700000000002,93.56066666666668,-22.74633333333334,-2.0678484848484855
australian,ANT,INTERMEDIATE,6.0,13,107.16461538461537,104.041,89.13366666666667,-14.907333333333327,-1.1467179487179482
australian,BEA,INTERMEDIATE,4.0,34,103.28420588235294,129.893,134.00199999999998,4.1089999999999804,0.12085294117647001
australian,BEA,INTERMEDIATE,6.0,13,103.03430769230769,115.28966666666668,90.68766666666666,-24.602000000000018,-1.8924615384615397
australian,BOR,INTERMEDIATE,4.0,29,98.85641379310346,134.25300000000001,103.53399999999999,-30.719000000000023,-1.0592758620689664
australian,BOR,MEDIUM,5.0,10,110.17269999999999,132.541,93.848,-38.693,-3.8693
australian,GAS,INTERMEDIATE,4.0,29,97.65206896551723,136.01500000000001,96.66066666666667,-39.354333333333344,-1.3570459770114947
australian,GAS,HARD,5.0,13,113.63046153846153,117.40000000000002,99.12333333333333,-18.276666666666685,-1.4058974358974372
australian,GAS,INTERMEDIATE,6.0,11,110.97972727272726,131.06466666666665,91.498,-39.56666666666665,-3.5969696969696954
australian,HAM,INTERMEDIATE,4.0,29,97.62713793103448,136.56266666666667,97.045,-39.51766666666667,-1.3626781609195404
australian,HAM,HARD,5.0,13,112.32684615384616,117.57233333333333,93.07099999999998,-24.50133333333335,-1.88471794871795
australian,HAM,INTERMEDIATE,6.0,10,108.5942,133.62966666666668,90.79566666666666,-42.83400000000002,-4.283400000000002
australian,HUL,INTERMEDIATE,4.0,29,98.6745172413793,134.76166666666666,101.94099999999999,-32.82066666666667,-1.1317471264367815
australian,HUL,MEDIUM,5.0,11,113.83818181818182,109.18433333333333,93.13699999999999,-16.04733333333334,-1.4588484848484855
australian,HUL,INTERMEDIATE,6.0,13,107.76669230769228,104.50866666666666,90.55233333333332,-13.956333333333333,-1.0735641025641025
australian,LAW,INTERMEDIATE,4.0,29,98.758,131.70600000000002,104.58366666666666,-27.12233333333336,-0.9352528735632193
australian,LAW,MEDIUM,5.0,12,105.06908333333331,130.24833333333333,94.54433333333333,-35.70400000000001,-2.975333333333334
australian,LEC,INTERMEDIATE,4.0,30,97.8929666666667,138.21866666666668,105.73599999999999,-32.48266666666669,-1.0827555555555564
australian,LEC,HARD,5.0,12,113.80633333333334,125.83366666666667,94.68700000000001,-31.14666666666666,-2.595555555555555
australian,LEC,INTERMEDIATE,6.0,10,107.75319999999999,132.86766666666665,90.24666666666667,-42.62099999999998,-4.2620999999999984
australian,NOR,INTERMEDIATE,4.0,30,96.3685666666667,140.393,99.18933333333332,-41.20366666666668,-1.3734555555555559
australian,NOR,HARD,5.0,9,119.54111111111112,133.78366666666668,90.517,-43.26666666666668,-4.807407407407409
australian,NOR,INTERMEDIATE,6.0,13,107.51338461538461,100.56733333333334,88.10566666666666,-12.461666666666673,-0.9585897435897441
australian,OCO,INTERMEDIATE,4.0,34,103.30917647058824,131.51066666666668,132.42366666666666,0.9129999999999825,0.026852941176470073
australian,OCO,MEDIUM,5.0,7,99.74585714285715,92.71266666666666,110.526,17.813333333333333,2.544761904761905
australian,OCO,INTERMEDIATE,6.0,11,104.31627272727273,111.795,91.699,-20.096000000000004,-1.8269090909090913
australian,PIA,INTERMEDIATE,4.0,30,96.52076666666669,139.53233333333333,101.54333333333334,-37.98899999999999,-1.2662999999999998
australian,PIA,HARD,5.0,8,120.257375,131.295,100.45933333333333,-30.835666666666654,-3.8544583333333318
australian,PIA,INTERMEDIATE,6.0,13,102.30023076923077,109.79200000000002,89.37566666666667,-20.41633333333334,-1.5704871794871802
australian,RUS,INTERMEDIATE,4.0,30,97.6904,138.62699999999998,105.144,-33.482999999999976,-1.1160999999999992
australian,RUS,HARD,5.0,9,115.78522222222222,123.053,92.51400000000001,-30.538999999999987,-3.393222222222221
